Date,X3.Mo,X10.Yr
6/30/1982,13.36,14.44
7/1/1982,13.14,14.4
7/2/1982,13.36,14.5
7/5/1982,.,.
7/6/1982,13.18,14.48
7/7/1982,13.31,14.49
7/8/1982,12.48,14.19
7/9/1982,12.29,14.03
7/12/1982,12.22,13.87
7/13/1982,12.48,14.02
7/14/1982,12.53,14.1
7/15/1982,12.14,13.96
7/16/1982,11.68,13.7
7/19/1982,11.52,13.68
7/20/1982,11.11,13.53
7/21/1982,11.19,13.6
7/22/1982,10.83,13.51
7/23/1982,10.73,13.56
7/26/1982,10.87,13.91
7/27/1982,11.12,13.86
7/28/1982,11.41,13.97
7/29/1982,10.97,13.83
7/30/1982,10.57,13.68
8/2/1982,9.72,13.41
8/3/1982,10.18,13.51
8/4/1982,10.12,13.68
8/5/1982,10.19,13.7
8/6/1982,10.71,13.85
8/9/1982,10.25,13.7
8/10/1982,10.42,13.69
8/11/1982,10.37,13.71
8/12/1982,9.74,13.55
8/13/1982,9.6,13.2
8/16/1982,8.98,13.09
8/17/1982,8.33,12.65
8/18/1982,8.35,12.57
8/19/1982,7.76,12.47
8/20/1982,7.31,12.24
8/23/1982,7.75,12.47
8/24/1982,7.86,12.35
8/25/1982,7.67,12.43
8/26/1982,7.37,12.55
8/27/1982,8.1,12.77
8/30/1982,8.44,12.81
8/31/1982,8.72,12.81
9/1/1982,8.73,12.76
9/2/1982,8.66,12.6
9/3/1982,8.46,12.47
9/6/1982,.,.
9/7/1982,8.68,12.53
9/8/1982,8.6,12.51
9/9/1982,8.57,12.53
9/10/1982,8.66,12.73
9/13/1982,8.41,12.63
9/14/1982,8.16,12.56
9/15/1982,8.44,12.6
9/16/1982,8.31,12.6
9/17/1982,8.23,12.51
9/20/1982,8.04,12.47
9/21/1982,7.88,12.18
9/22/1982,7.58,12.04
9/23/1982,7.52,11.94
9/24/1982,7.85,12.09
9/27/1982,7.83,11.99
9/28/1982,7.72,11.85
9/29/1982,7.84,11.8
9/30/1982,7.88,11.73
10/1/1982,7.6,11.51
10/4/1982,8.21,11.72
10/5/1982,8.44,11.69
10/6/1982,8.33,11.5
10/7/1982,8.04,10.91
10/8/1982,8,10.83
10/11/1982,.,.
10/12/1982,7.61,10.53
10/13/1982,7.67,10.39
10/14/1982,7.79,10.61
10/15/1982,7.8,10.75
10/18/1982,7.66,10.58
10/19/1982,7.73,10.56
10/20/1982,7.8,10.69
10/21/1982,7.81,10.69
10/22/1982,7.88,10.81
10/25/1982,8.12,11.11
10/26/1982,8.24,10.87
10/27/1982,8.28,10.9
10/28/1982,8.17,10.77
10/29/1982,8.17,10.71
11/1/1982,8.06,10.56
11/2/1982,.,.
11/3/1982,8.06,10.46
11/4/1982,7.99,10.42
11/5/1982,8.04,10.48
11/8/1982,8.18,10.55
11/9/1982,8.28,10.51
11/10/1982,8.36,10.48
11/11/1982,.,.
11/12/1982,8.56,10.58
11/15/1982,8.8,10.65
11/16/1982,8.7,10.67
11/17/1982,8.65,10.59
11/18/1982,8.55,10.46
11/19/1982,8.38,10.42
11/22/1982,8.26,10.43
11/23/1982,8.22,10.53
11/24/1982,8.2,10.59
11/25/1982,.,.
11/26/1982,8.19,10.51
11/29/1982,8.54,10.78
11/30/1982,8.56,10.79
12/1/1982,8.55,10.74
12/2/1982,8.32,10.68
12/3/1982,8.1,10.47
12/6/1982,8.13,10.46
12/7/1982,8.19,10.48
12/8/1982,8.24,10.62
12/9/1982,8.23,10.58
12/10/1982,8.31,10.66
12/13/1982,8.27,10.61
12/14/1982,7.93,10.46
12/15/1982,7.88,10.5
12/16/1982,8.1,10.59
12/17/1982,8.13,10.64
12/20/1982,8.14,10.7
12/21/1982,8.17,10.54
12/22/1982,8.18,10.53
12/23/1982,8.18,10.47
12/24/1982,.,.
12/27/1982,8.16,10.44
12/28/1982,8.33,10.44
12/29/1982,8.43,10.47
12/30/1982,8.29,10.44
12/31/1982,8.2,10.36
1/3/1983,8.17,10.32
1/4/1983,8.28,10.37
1/5/1983,8.25,10.35
1/6/1983,8.2,10.39
1/7/1983,8.02,10.36
1/10/1983,7.96,10.38
1/11/1983,7.94,10.34
1/12/1983,7.94,10.32
1/13/1983,7.92,10.27
1/14/1983,7.79,10.28
1/17/1983,7.85,10.28
1/18/1983,7.9,10.3
1/19/1983,7.94,10.41
1/20/1983,8.04,10.43
1/21/1983,8.29,10.61
1/24/1983,8.37,10.7
1/25/1983,8.32,10.62
1/26/1983,8.36,10.69
1/27/1983,8.3,10.67
1/28/1983,8.26,10.71
1/31/1983,8.36,10.8
2/1/1983,8.45,10.78
2/2/1983,8.45,10.88
2/3/1983,8.43,10.93
2/4/1983,8.52,10.99
2/7/1983,8.5,10.96
2/8/1983,8.57,10.99
2/9/1983,8.55,11
2/10/1983,8.45,10.83
2/11/1983,8.42,10.8
2/14/1983,8.53,10.8
2/15/1983,8.6,10.84
2/16/1983,8.48,10.81
2/17/1983,8.38,10.71
2/18/1983,8.26,10.6
2/21/1983,.,.
2/22/1983,8.17,10.46
2/23/1983,8.24,10.44
2/24/1983,8.2,10.42
2/25/1983,8.08,10.26
2/28/1983,8.21,10.27
3/1/1983,8.26,10.22
3/2/1983,8.3,10.26
3/3/1983,8.25,10.23
3/4/1983,8.29,10.27
3/7/1983,8.48,10.43
3/8/1983,8.61,10.52
3/9/1983,8.57,10.48
3/10/1983,8.55,10.55
